cv,param,metrics,val_acc,matrix
cv1,n_neighbours,4,0.404491105,"[[ 253    3    0    0    0    3    0    0    0    9   18]
 [   0  389    0    0    8    0    1    0   34  159    0]
 [   1    2   22    0    0    0    1    0    0    2    0]
 [   1    1    0    0    0    1    0    0    3    4    0]
 [   0   33    0   10  129    5   19    0  118  304    0]
 [   0   18    0    1   14    2    0    0   34  118    0]
 [   0   11    0    8   71    3   10    0   67  136    0]
 [   1   40    0    0   19   18    3   39  534  224    0]
 [   2  111    0    7  130   11   36    2  681 1097    0]
 [   2  128    0    3   94    8    8    0  267 1157    0]
 [  90   14    0    0    0    0    0    0    1   13   92]]"
cv1,n_neighbours,5,0.414843978,"[[ 233    1    0    0    0    1    0    0    0   13   38]
 [   1  380    0    0    7    0    1    0   37  165    0]
 [   0    2   22    0    1    0    1    0    0    2    0]
 [   1    1    0    0    0    1    0    0    4    3    0]
 [   0   29    0    6  111    2   24    0  145  301    0]
 [   0   17    0    1   14    0    0    0   35  120    0]
 [   0    7    0    1   65    1   17    0   75  140    0]
 [   1   27    0    0   13   10    6   51  543  227    0]
 [   2   69    0    1  101    7   51    5  725 1116    0]
 [   2   98    0    0   71    4    8    0  284 1200    0]
 [  75   16    0    0    0    0    1    0    0   12  106]]"
cv1,n_neighbours,6,0.422863809,"[[ 256    1    0    0    0    0    0    0    0   13   16]
 [   0  369    0    0   11    1    1    0   33  176    0]
 [   0    1   22    0    1    0    1    0    0    3    0]
 [   1    1    0    0    0    1    0    0    2    5    0]
 [   0   14    0    0  127    2   19    0  147  309    0]
 [   0   12    0    0   11    0    2    0   37  125    0]
 [   0    7    0    0   82    2   13    0   69  133    0]
 [   0   23    0    0   15   12    3   50  546  229    0]
 [   2   63    0    0  109    6   42    3  707 1145    0]
 [   0   75    0    0   65    3    8    0  256 1260    0]
 [  85   14    0    0    0    0    1    0    1   13   96]]"
cv1,n_neighbours,8,0.433945757,"[[ 252    1    0    0    0    0    0    0    0   15   18]
 [   0  366    0    0    4    1    0    0   27  193    0]
 [   0    2   22    0    2    0    0    0    0    2    0]
 [   2    0    0    0    0    0    0    0    2    6    0]
 [   0   14    0    0  108    2   10    0  145  339    0]
 [   0    7    0    0   10    0    1    0   30  139    0]
 [   0    5    0    0   67    0   10    0   68  156    0]
 [   1   13    0    0    7    7    0   32  585  233    0]
 [   2   43    0    0   73    0   13    2  710 1234    0]
 [   0   37    0    0   40    0    3    0  215 1372    0]
 [  76   14    0    0    2    0    0    0    0   14  104]]"
cv1,n_neighbours,10,0.440361621,"[[ 253    1    0    0    0    0    0    0    1   13   18]
 [   0  366    0    0    4    0    0    0   21  200    0]
 [   0    1   22    0    0    0    0    0    1    4    0]
 [   2    0    0    0    0    0    0    0    2    6    0]
 [   0    8    0    0  109    1    9    0  138  353    0]
 [   0    6    0    0    9    0    0    0   31  141    0]
 [   0    3    0    0   60    0    7    0   75  161    0]
 [   1   10    0    0    9    2    1   28  583  244    0]
 [   2   29    0    0   72    0   10    1  708 1255    0]
 [   0   24    0    0   32    0    1    0  191 1419    0]
 [  75   12    0    0    2    0    0    0    0   13  108]]"
cv1,n_neighbours,30,0.442694663,"[[ 243    0    0    0    0    0    0    0    1   15   27]
 [   0  340    0    0    1    0    0    0   13  237    0]
 [   0    0   22    0    0    0    1    0    1    4    0]
 [   1    0    0    0    0    0    0    0    2    7    0]
 [   0    2    0    0   45    0    3    0  111  457    0]
 [   0    2    0    0    3    0    0    0   12  170    0]
 [   0    1    0    0   28    0    5    0   84  188    0]
 [   1    3    0    0    0    0    0    9  601  264    0]
 [   2    2    0    0   11    0    2    0  657 1403    0]
 [   0    2    0    0    2    0    0    0   61 1602    0]
 [  65   13    0    0    0    0    0    0    1   18  113]]"
cv1,n_neighbours,50,0.432633421,"[[ 235    0    0    0    0    0    0    0    0   19   32]
 [   0  340    0    0    0    0    0    0    9  242    0]
 [   0    0   20    0    0    0    0    0    3    5    0]
 [   1    0    0    0    0    0    0    0    2    7    0]
 [   0    1    0    0   20    0    2    0   94  501    0]
 [   0    1    0    0    0    0    0    0    6  180    0]
 [   0    1    0    0   14    0    2    0   73  216    0]
 [   1    3    0    0    0    0    0    5  607  262    0]
 [   2    3    0    0    2    0    1    0  590 1479    0]
 [   0    0    0    0    2    0    0    0   25 1640    0]
 [  62   14    0    0    1    0    0    0    0   18  115]]"
cv1,n_neighbours,70,0.428988043,"[[ 235    0    0    0    0    0    0    0    0   19   32]
 [   0  337    0    0    0    0    0    0    8  246    0]
 [   0    0   18    0    0    0    0    0    2    7    1]
 [   1    0    0    0    0    0    0    0    2    7    0]
 [   0    0    0    0   11    0    0    0   89  518    0]
 [   0    0    0    0    0    0    0    0    5  182    0]
 [   0    0    0    0    7    0    1    0   63  235    0]
 [   1    3    0    0    0    0    0    2  607  265    0]
 [   2    2    0    0    0    0    0    0  572 1501    0]
 [   0    0    0    0    1    0    0    0   14 1652    0]
 [  61   16    0    0    0    0    0    0    0   19  114]]"
cv1,n_neighbours,99,0.424759405,"[[ 231    0    0    0    0    0    0    0    0   19   36]
 [   0  334    0    0    0    0    0    0    8  249    0]
 [   0    0   17    0    0    0    0    0    1    9    1]
 [   1    0    0    0    0    0    0    0    1    8    0]
 [   0    0    0    0   10    0    0    0   67  541    0]
 [   0    0    0    0    0    0    0    0    5  182    0]
 [   0    0    0    0    5    0    0    0   59  242    0]
 [   1    3    0    0    0    0    0    3  600  271    0]
 [   2    0    0    0    0    0    0    0  548 1527    0]
 [   0    0    0    0    1    0    0    0   10 1656    0]
 [  60   16    0    0    0    0    0    0    0   20  114]]"
cv2,n_neighbours,4,0.411052785,"[[ 233    5    0    0    0    1    0    0    0   12   35]
 [   1  403    0    0    6    0    1    0   20  160    0]
 [   0    3   18    0    0    0    1    0    1    4    1]
 [   0    1    0    0    1    0    0    0    2    6    0]
 [   0   45    0    7   97    1   30    0   93  345    0]
 [   0   12    0    0    9    2    0    0   18  146    0]
 [   0   11    0    3   59    1   17    0   49  166    0]
 [   0   49    0    0   14    5    8   37  494  271    0]
 [   1  115    0    5  115   10   41    2  575 1213    0]
 [   0  115    0    2   57    6   11    0  143 1333    0]
 [  67   19    0    0    1    2    0    0    1   16  104]]"
