cv,param,metrics,val_acc,matrix
cv1,"[penalty, class_weight]","['none', None]",0.752551764,"[[ 254    0    0    0    0    0    0    0    0    0   32]
 [   0  468    0    0   21    2    4    0   15   77    4]
 [   0    0   25    0    0    0    1    0    0    0    2]
 [   1    0    0    0    2    1    2    0    3    0    1]
 [   0   13    0    0  372   16   71    0   86   57    3]
 [   0    4    0    0   30   62    9    0   23   59    0]
 [   0    5    0    0   74    9  130    0   69   19    0]
 [   1    0    0    0    0    0    0  799   78    0    0]
 [   1   21    0    0   60   11   64   62 1609  247    2]
 [   0   28    0    0   64   35   17    0  226 1291    6]
 [  49    7    0    0    1    0    0    0    1    1  151]]"
cv1,"[penalty, class_weight]","['l2', None]",0.757509478,"[[ 269    0    0    0    0    0    0    0    0    0   17]
 [   0  465    0    0   22    4    3    0   11   85    1]
 [   0    0   25    0    0    0    1    0    0    0    2]
 [   1    0    0    0    2    1    2    0    3    0    1]
 [   0    9    0    0  362   19   74    0   85   69    0]
 [   0    3    0    0   33   61    8    0   19   63    0]
 [   0    4    0    0   69   11  124    0   78   20    0]
 [   1    0    0    0    0    0    0  799   78    0    0]
 [   2   20    0    0   60   14   54   58 1618  251    0]
 [   0   27    0    0   61   25   14    0  198 1339    3]
 [  67    7    0    0    1    0    0    0    1    1  133]]"
cv1,"[penalty, class_weight]","['none', 'balanced']",0.751093613,"[[ 247    0    0    0    0    0    0    0    0    0   39]
 [   0  471    0    0   23    5    3    0   11   77    1]
 [   0    1   25    0    0    0    1    0    0    0    1]
 [   1    1    0    0    2    1    3    0    2    0    0]
 [   0   11    0    0  368   24   80    0   82   53    0]
 [   0    5    0    0   39   59    4    0   22   58    0]
 [   0    3    0    1   59   10  128    0   85   20    0]
 [   1    0    0    0    0    0    0  793   84    0    0]
 [   1   24    0    0   64   12   55   55 1614  252    0]
 [   0   33    0    1   71   33   18    0  216 1293    2]
 [  44   10    0    0    1    0    0    0    1    1  153]]"
cv1,"[penalty, class_weight]","['l2', 'balanced']",0.758092738,"[[ 259    0    0    0    0    0    0    0    0    0   27]
 [   0  476    0    0   20    4    3    0   12   74    2]
 [   0    1   25    0    0    0    1    0    0    0    1]
 [   1    0    0    0    3    1    2    0    2    0    1]
 [   0   12    0    0  371   26   85    0   68   56    0]
 [   0    5    0    0   30   62    7    0   21   62    0]
 [   0    4    0    1   63   10  137    0   68   23    0]
 [   1    0    0    0    0    0    0  799   78    0    0]
 [   2   23    0    0   72   15   64   54 1584  263    0]
 [   0   32    0    1   78   30   18    0  169 1337    2]
 [  50    7    0    1    1    0    0    0    1    1  149]]"
cv2,"[penalty, class_weight]","['none', None]",0.754301546,"[[ 229    0    0    0    0    0    0    2    0    0   55]
 [   0  479    0    0   14    1    3    0   20   73    1]
 [   0    3   22    0    0    1    1    0    0    1    0]
 [   0    2    0    0    3    1    2    0    2    0    0]
 [   0    8    0    0  378   28   66    0   74   64    0]
 [   0    8    0    0   19   65    5    0   29   61    0]
 [   0    2    0    0   63   17  116    0   92   16    0]
 [   0    0    0    0    0    0    0  810   68    0    0]
 [   1   24    0    0   54   11   64   67 1628  228    0]
 [   0   46    0    1   44   36   19    0  230 1290    1]
 [  37    6    0    0    5    1    1    0    1    3  156]]"
cv2,"[penalty, class_weight]","['l2', None]",0.754884806,"[[ 259    1    0    1    0    0    1    2    0    0   22]
 [   0  485    0    0   13    3    3    0   19   68    0]
 [   0    2   22    1    0    0    1    0    0    2    0]
 [   0    0    0    2    3    1    2    0    2    0    0]
 [   0   11    0    0  395   17   60    0   72   63    0]
 [   0   10    0    0   23   50    7    0   32   65    0]
 [   0    2    0    0   68   12  115    0   93   16    0]
 [   0    0    0    0    0    0    0  799   79    0    0]
 [   0   29    0    0   61    7   65   66 1616  233    0]
 [   0   52    0    1   48   25   16    0  222 1302    1]
 [  57    6    1    3    6    0    1    0    1    3  132]]"
cv2,"[penalty, class_weight]","['none', 'balanced']",0.751968504,"[[ 213    0    0    0    0    0    0    1    0    0   72]
 [   0  491    0    0   14    3    3    0   18   61    1]
 [   0    3   19    0    0    1    1    0    0    1    3]
 [   0    2    0    0    2    1    3    0    2    0    0]
 [   0   10    0    0  387   22   61    0   73   63    2]
 [   0   10    0    0   21   53    5    0   38   59    1]
 [   0    4    0    0   70   12  111    0   94   15    0]
 [   0    0    0    0    0    0    0  803   75    0    0]
 [   1   24    0    0   62    7   60   67 1616  239    1]
 [   0   51    0    0   57   37   17    0  206 1298    1]
 [  31    3    0    0    6    0    1    0    0    3  166]]"
cv2,"[penalty, class_weight]","['l2', 'balanced']",0.748323126,"[[ 232    0    0    0    0    0    0    1    0    0   53]
 [   0  483    0    0   16    5    4    0   22   58    3]
 [   0    0   23    0    0    1    1    0    0    1    2]
 [   0    2    0    0    2    1    3    0    2    0    0]
 [   0    9    0    0  394   24   65    0   61   63    2]
 [   0    8    0    0   21   57    5    0   36   58    2]
 [   0    3    0    0   77   12  116    0   85   12    1]
 [   0    0    0    0    0    0    0  805   73    0    0]
 [   1   20    0    0   75   11   71   70 1598  231    0]
 [   0   49    0    0   64   51   18    0  211 1271    3]
 [  44    3    0    0    5    0    1    0    0    4  153]]"
cv3,"[penalty, class_weight]","['none', None]",0.758967629,"[[ 235    1    0    0    0    0    0    0    0    0   50]
 [   0  480    0    0   11    6    0    0   22   71    1]
 [   1    1   23    0    1    0    0    0    0    0    2]
 [   0    0    2    0    2    0    1    0    3    0    2]
 [   0   15    0    0  381   25   58    0   59   80    0]
 [   0    4    0    0   28   70    9    0   27   49    0]
 [   0    1    0    0   78    8  140    0   63   16    0]
 [   0    0    0    0    1    0    0  794   82    0    1]
 [   0   20    1    0   73   15   69   64 1621  214    0]
 [   0   29    0    0   45   44   15    0  225 1306    3]
 [  44    3    0    0    3    1    1    0    1    2  155]]"
cv3,"[penalty, class_weight]","['l2', None]",0.760863225,"[[ 243    1    0    0    0    0    0    1    0    0   41]
 [   0  485    0    0   10    6    1    0   15   73    1]
 [   1    2   22    0    0    0    0    0    0    1    2]
 [   0    2    0    0    2    0    1    0    3    0    2]
 [   0   19    0    0  375   20   63    0   70   71    0]
 [   0    6    0    0   24   76   10    0   23   48    0]
 [   0    1    0    0   80    9  135    0   69   12    0]
 [   0    0    0    0    1    0    0  798   79    0    0]
 [   0   24    0    0   71   16   62   66 1629  209    0]
 [   0   33    0    0   49   41   18    0  219 1304    3]
 [  47    4    0    0    3    1    1    0    1    2  151]]"
