metrics,matrix,val_acc,cv,param
5,"[[ 246    0    0    0    0    0    0    0   40    0    0]
 [   0  328    0    0    0    0    0    0  120  143    0]
 [   0    0    1    0    0    0    0    3   23    1    0]
 [   0    0    0    0    0    0    0    1    6    3    0]
 [   0    0    0    0    0    0    0    0  509  109    0]
 [   0    0    0    0    0    0    0    0   57  130    0]
 [   0    0    0    0    0    0    0    0  281   25    0]
 [   0    1    0    0    0    0    0  619  258    0    0]
 [   0    0    0    0    0    0    0   47 1676  354    0]
 [   0    0    0    0    0    0    0    0  540 1127    0]
 [ 108    0    0    0    0    0    0    1   40    2   59]]",0.591426072,cv1,max_depth
8,"[[ 275    0    0    0    0    0    0    0   10    0    1]
 [   0  358    0    0    0    0    0    0   50  183    0]
 [   0    0   16    0    0    0    0    1    8    3    0]
 [   1    0    0    0    0    0    0    1    5    3    0]
 [   0    0    0    0    0    0    0    0  451  167    0]
 [   0    0    0    0    0    0    0    0   26  161    0]
 [   0    0    0    0    0    0    0    0  262   44    0]
 [   0    1    0    0    0    0    0  722  155    0    0]
 [   1    1    0    0    0    0    0   92 1466  517    0]
 [   1    0    0    0    0    0    0    0  235 1430    1]
 [ 107    3    0    0    0    0    0    1   17    3   79]]",0.633712453,cv1,max_depth
15,"[[ 282    0    0    0    0    0    0    0    0    0    4]
 [   0  361    0    0    0    0    0    1   22  203    4]
 [   0    0   16    0    0    0    0    1    6    3    2]
 [   1    0    0    0    0    0    0    0    6    2    1]
 [   0    0    0    0   17    0    0    0  379  222    0]
 [   0    0    0    0    1    0    0    0   18  168    0]
 [   0    0    0    0    0    0    0    0  248   58    0]
 [   1    0    0    0    0    0    0  787   90    0    0]
 [   2    1    0    0    0    0    0  115 1361  598    0]
 [   0    0    0    0    1    0    0    0  132 1532    2]
 [ 104    6    0    0    0    0    0    0    1    3   96]]",0.649168854,cv1,max_depth
25,"[[ 284    0    0    0    0    0    0    0    0    0    2]
 [   0  362    0    0    0    0    0    0   25  200    4]
 [   0    1   16    0    0    0    0    1    7    2    1]
 [   1    0    0    0    0    0    0    0    5    3    1]
 [   0    0    0    0   46    0    0    0  356  216    0]
 [   0    0    0    0    1    0    0    0   20  166    0]
 [   0    0    0    0   10    0    0    1  231   64    0]
 [   1    2    0    0    0    0    0  786   89    0    0]
 [   2    1    0    0    1    0    0  131 1368  574    0]
 [   0    0    0    0    1    0    0    0  137 1527    2]
 [  99    3    0    0    0    0    0    0    1    3  104]]",0.655147273,cv1,max_depth
30,"[[ 284    0    0    0    0    0    0    0    0    0    2]
 [   0  362    0    0    0    0    0    0   29  196    4]
 [   0    1   16    0    0    0    0    1    5    3    2]
 [   1    0    0    0    0    0    0    0    5    3    1]
 [   0    0    0    0   66    0    0    0  329  223    0]
 [   0    0    0    0    2    0    0    0   21  164    0]
 [   0    0    0    0   18    0    0    0  234   54    0]
 [   1    0    0    0    0    0    0  785   92    0    0]
 [   2    0    0    0    3    0    0  119 1391  562    0]
 [   0    0    0    0    3    0    0    0  142 1520    2]
 [ 100    4    0    0    0    0    0    0    0    3  103]]",0.660104987,cv1,max_depth
5,"[[ 214    0    0    0    0    0    0    1   71    0    0]
 [   0  334    0    0    0    0    0    0  146  111    0]
 [   0    0    0    0    0    0    0    0   28    0    0]
 [   0    0    0    0    0    0    0    0    9    1    0]
 [   0    0    0    0    0    0    0    0  517  101    0]
 [   0    0    0    0    0    0    0    0   54  133    0]
 [   0    0    0    0    0    0    0    0  279   27    0]
 [   0    0    0    0    0    0    0  632  246    0    0]
 [   0    2    0    0    0    0    0   52 1667  356    0]
 [   0    0    0    0    0    0    0    0  521 1146    0]
 [  88    2    0    0    0    0    0    0   57    4   59]]",0.590842811,cv2,max_depth
8,"[[ 276    0    0    0    0    0    0    0    9    0    1]
 [   0  383    0    0    0    0    0    0   49  159    0]
 [   0    1   14    0    0    0    0    0   13    0    0]
 [   0    1    0    0    0    0    0    0    5    4    0]
 [   0    1    0    0    0    0    0    0  441  176    0]
 [   0    0    0    0    0    0    0    0   22  165    0]
 [   0    0    0    0    0    0    0    0  258   48    0]
 [   0    0    0    0    0    0    0  728  150    0    0]
 [   1    1    0    0    0    0    0   95 1439  541    0]
 [   0    1    0    0    0    0    0    0  229 1437    0]
 [  98    9    0    0    0    0    0    1   15    8   79]]",0.635170604,cv2,max_depth
15,"[[ 277    0    0    0    0    0    0    0    2    1    6]
 [   0  392    0    0    0    0    0    0   23  173    3]
 [   0    3   14    0    0    0    0    0    8    2    1]
 [   0    1    0    0    0    0    0    0    4    4    1]
 [   0    1    0    0    4    0    0    0  393  220    0]
 [   0    0    0    0    0    0    0    0   17  170    0]
 [   0    0    0    0    2    0    0    0  238   66    0]
 [   0    0    0    0    0    0    0  789   89    0    0]
 [   1    2    0    0    0    0    0  132 1370  572    0]
 [   0    1    0    0    0    0    0    0  150 1515    1]
 [  91    2    0    0    0    0    0    0    9    7  101]]",0.650627005,cv2,max_depth
25,"[[ 276    0    0    0    0    0    0    0    2    0    8]
 [   0  392    0    0    1    0    0    0   24  171    3]
 [   0    2   14    0    0    0    0    0    7    4    1]
 [   0    0    0    0    0    0    0    0    6    2    2]
 [   0    1    0    0   48    0    0    0  339  230    0]
 [   0    0    0    0    1    0    0    0   12  174    0]
 [   0    0    0    0    6    0    0    1  238   61    0]
 [   0    0    0    0    0    0    0  775  103    0    0]
 [   1    1    0    0    2    0    0  137 1365  571    0]
 [   0    1    0    0    3    0    0    0  144 1516    3]
 [  95    1    0    0    0    0    0    0    8    7   99]]",0.653980752,cv2,max_depth
30,"[[ 277    0    0    0    0    0    0    0    0    1    8]
 [   0  393    0    0    1    0    0    0   22  172    3]
 [   0    2   14    0    0    0    0    0    8    3    1]
 [   0    1    0    0    1    0    0    0    5    2    1]
 [   0    1    0    0   65    0    0    0  345  207    0]
 [   0    0    0    0    0    0    0    0   22  165    0]
 [   0    0    0    0   11    0    0    0  237   58    0]
 [   0    0    0    0    0    0    0  782   96    0    0]
 [   1    1    0    0    1    0    0  146 1378  550    0]
 [   0    1    0    0    5    0    0    0  139 1519    3]
 [  95    1    0    0    0    0    0    0    7    7  100]]",0.660250802,cv2,max_depth
